Country,Population,Yearly Change,Net Change,Urban,Land Area,Med Age,Regions
China,1439323776,0.0039,5540090,0.61,9388211,38,Asia
India,1380004385,0.0099,13586631,0.35,2973190,28,Asia
Indonesia,273523615,0.0107,2898047,0.56,1811570,30,Asia
Pakistan,220892340,0.02,4327022,0.35,770880,23,Asia
Bangladesh,164689383,0.0101,1643222,0.39,130170,28,Asia
Japan,126476461,-0.003,-383840,0.92,364555,48,Asia
Philippines,109581078,0.0135,1464463,0.47,298170,26,Asia
Vietnam,97338579,0.0091,876473,0.38,310070,32,Asia
Turkey,84339067,0.0109,909452,0.76,769630,32,Asia
Iran,83992949,0.013,1079043,0.76,1628550,32,Asia
Vietnam,97338579,0.0091,876473,0.51,310070,32,Asia
Thailand,69799978,0.0025,174396,0.31,510890,40,Asia
Myanmar,54409800,0.0067,364380,0.82,653290,29,Asia
South Korea,51269185,0.0009,43877,0.73,97230,44,Asia
Iraq,40222493,0.0232,912710,0.25,434320,21,Asia
Afghanistan,38928346,0.0233,886592,0.84,652860,18,Asia
Saudi Arabia,34813871,0.0159,545343,0.50,2149690,32,Asia
Uzbekistan,33469203,0.0148,487487,0.78,425400,28,Asia
Malaysia,32365999,0.013,416222,0.38,328550,30,Asia
Yemen,29825964,0.0228,664042,0.21,527970,20,Asia
Nepal,29136808,0.0185,528098,0.63,143350,25,Asia
North Korea,25778816,0.0044,112655,0.79,120410,35,Asia
Taiwan,23816775,0.0018,42899,0.18,35410,42,Asia
Sri Lanka,21413249,0.0042,89516,0.58,62710,34,Asia
Kazakhstan,18776707,0.0121,225280,0.60,2699700,31,Asia
Syria,17500658,0.0252,430523,0.24,183630,26,Asia
Cambodia,16718965,0.0141,232423,0.91,176520,26,Asia
Jordan,10203134,0.01,101440,0.56,88780,24,Asia
Azerbaijan,10139177,0.0091,91459,0.86,82658,32,Asia
United Arab Emirates,9890402,0.0123,119873,0.27,83600,33,Asia
Tajikistan,9537645,0.0232,216627,0.93,139960,22,Asia
Israel,8655535,0.016,136158,N.A.,21640,30,Asia
Hong Kong,7496981,0.0082,60827,0.36,1050,45,Asia
Laos,7275560,0.0148,106105,0.78,230800,24,Asia
Lebanon,6825445,-0.0044,-30268,0.36,10230,30,Asia
Kyrgyzstan,6524195,0.0169,108345,0.53,191800,26,Asia
Turkmenistan,6031200,0.015,89111,N.A.,469930,27,Asia
Singapore,5850342,0.0079,46005,0.80,700,42,Asia
State of Palestine,5101414,0.0241,119994,0.87,6020,21,Asia
Oman,5106626,0.0265,131640,N.A.,309500,31,Asia
Kuwait,4270571,0.0151,63488,0.58,17820,37,Asia
Georgia,3989167,-0.0019,-7598,0.67,69490,38,Asia
Mongolia,3278290,0.0165,53123,0.63,1553560,28,Asia
Armenia,2963243,0.0019,5512,0.96,28470,35,Asia
Qatar,2881053,0.0173,48986,0.89,11610,32,Asia
Bahrain,1701575,0.0368,60403,0.33,760,32,Asia
Timor-Leste,1318445,0.0196,25326,0.67,14870,21,Asia
Cyprus,1207359,0.0073,8784,0.46,9240,37,Asia
Bhutan,771608,0.0112,8516,N.A.,38117,28,Asia
Macao,649335,0.0139,8890,0.35,30,39,Asia
Maldives,540544,0.0181,9591,0.80,300,30,Asia
Brunei,437479,0.0097,4194,0.52,5270,32,Asia
Nigeria,206139589,0.0258,5175990,0.21,910770,18,Africa
Ethiopia,114963588,0.0257,2884858,0.43,1000000,19,Africa
Egypt,102334404,0.0194,1946331,0.46,995450,25,Africa
DR Congo,89561403,0.0319,2770836,0.67,2267050,17,Africa
South Africa,59308690,0.0128,750420,0.37,1213090,28,Africa
Tanzania,59734218,0.0298,1728755,0.28,885800,18,Africa
Kenya,53771296,0.0228,1197323,0.26,569140,20,Africa
